audio_filename,audio_start_time,audio_end_time,audio_duration,audio_clap_time,anim_fbx_file,anim_start_time,anim_end_time,anim_duration,anim_clap_time,style,capture_session,acting_start_time,acting_end_time,anim_bvh,validation
001_Neutral_0.wav,09:28:00:01,09:30:26:12,00:02:26:11,,20210604_001_Neutral_0_02.fbx,09:28:03:35,09:30:18:50,00:02:15:15,09:28:10:22,Neutral,1,09:28:15:21,09:30:16:47,001_Neutral_0.bvh,FALSE
002_Neutral_1.wav,09:37:24:01,09:39:54:14,00:02:30:13,,20210604_002_Neutral_1_01.fbx,09:37:28:11,09:39:35:10,00:02:24:59,09:37:34:56,Neutral,1,09:37:38:45,09:39:51:37,002_Neutral_1.bvh,FALSE
003_Neutral_2.wav,09:43:51:16,09:46:27:27,00:02:36:11,,20210604_003_Neutral_2_01.fbx,09:43:55:07,09:46:21:30,00:02:26:23,09:44:02:05,Neutral,1,09:44:08:39,09:46:18:38,003_Neutral_2.bvh,FALSE
004_Neutral_3.wav,09:48:03:04,09:50:45:10,00:02:42:05,,20210604_004_Neutral_3_01.fbx,09:48:07:57,09:50:40:34,00:02:32:37,09:48:16:02,Neutral,1,09:48:20:52,09:50:38:51,004_Neutral_3.bvh,FALSE
005_Neutral_4.wav,09:52:16:06,09:55:07:20,00:02:51:13,,20210604_005_Neutral_4_01.fbx,09:52:20:11,09:55:02:36,00:02:42:25,09:52:26:49,Neutral,1,09:52:32:06,09:54:59:14,005_Neutral_4.bvh,TRUE
006_Sad_0.wav,09:32:22:14,09:35:11:09,00:02:48:24,,20210604_006_Sad_0_01.fbx,09:32:27:35,09:34:57:42,00:02:30:07,09:32:33:31,Sad,1,09:32:36:10,09:34:55:16,006_Sad_0.bvh,FALSE
007_Sad_1.wav,09:56:39:23,09:59:36:08,00:02:56:14,,20210604_007_Sad_1_01.fbx,09:56:39:27,09:59:30:18,00:02:50:51,09:56:47:03,Sad,1,09:56:52:05,09:59:28:06,007_Sad_1.bvh,FALSE
008_Sad_2.wav,10:01:32:10,10:04:41:11,00:03:09:00,,20210604_008_Sad_2_01.fbx,10:01:37:42,10:04:35:55,00:02:58:13,10:01:45:51,Sad,1,10:01:52:29,10:04:32:37,008_Sad_2.bvh,FALSE
009_Sad_3.wav,10:08:14:27,10:11:15:22,00:03:00:24,,20210604_009_Sad_3_01.fbx,10:08:21:50,10:10:56:03,00:02:34:13,10:08:29:15,Sad,1,10:08:33:30,10:10:49:34,009_Sad_3.bvh,FALSE
010_Sad_4.wav,10:13:02:01,10:15:27:29,00:02:25:27,,20210604_010_Sad_4_01.fbx,10:13:05:40,10:15:18:29,00:02:12:49,10:13:13:41,Sad,1,10:13:18:41,10:15:15:26,010_Sad_4.bvh,TRUE
011_Happy_0.wav,10:19:42:18,10:22:17:11,00:02:34:23,,20210604_011_Happy_0_01.fbx,10:19:48:41,10:22:12:34,00:02:23:53,10:19:56:51,Happy,1,10:19:59:53,10:22:11:02,011_Happy_0.bvh,FALSE
012_Happy_1.wav,10:23:52:13,10:26:10:24,00:02:18:10,,20210604_012_Happy_1_01.fbx,10:23:57:21,10:26:07:12,00:02:09:51,10:24:04:36,Happy,1,10:24:10:44,10:26:03:12,012_Happy_1.bvh,FALSE
013_Happy_2.wav,10:27:23:08,10:29:50:05,00:02:26:26,,20210604_013_Happy_2_01.fbx,10:27:27:07,10:29:45:48,00:02:18:41,10:27:35:01,Happy,1,10:27:39:42,10:29:42:46,013_Happy_2.bvh,FALSE
014_Happy_3.wav,10:41:29:02,10:43:30:21,00:02:01:19,,20210604_014_Happy_3_01.fbx,10:41:28:43,10:43:26:14,00:01:57:31,10:41:37:15,Happy,1,10:41:42:56,10:43:24:00,014_Happy_3.bvh,FALSE
015_Happy_4.wav,10:44:38:02,10:47:20:14,00:02:42:12,,20210604_015_Happy_4_01.fbx,10:44:39:57,10:47:11:46,00:02:31:49,10:44:48:25,Happy,1,10:44:52:42,10:47:09:59,015_Happy_4.bvh,TRUE
016_Relaxed_0.wav,10:50:03:25,10:52:32:25,00:02:29:00,,20210604_016_Relaxed_0_01.fbx,10:50:05:51,10:52:29:28,00:02:23:37,10:50:12:26,Relaxed,1,10:50:15:35,10:52:27:37,016_Relaxed_0.bvh,FALSE
017_Relaxed_1.wav,10:54:10:20,10:56:44:28,00:02:34:08,,20210604_017_Relaxed_1_01.fbx,10:54:10:53,10:56:39:18,00:02:28:25,10:54:17:48,Relaxed,1,10:54:21:17,10:56:36:33,017_Relaxed_1.bvh,FALSE
018_Relaxed_2.wav,10:58:16:00,11:00:50:05,00:02:34:05,,20210604_018_Relaxed_2_01.fbx,10:58:20:25,11:00:42:16,00:02:21:51,10:58:30:16,Relaxed,1,10:58:37:25,11:00:40:07,018_Relaxed_2.bvh,FALSE
